time_s,state,altitude_m,zone_score
0.0333,SURVEY,12.0,0.0
0.0667,SURVEY,11.9999,0.0
0.1,SURVEY,11.9999,0.0
0.1333,SURVEY,11.9998,0.0
0.1667,SURVEY,11.9998,0.0
0.2,SURVEY,11.9997,0.0
0.2333,SURVEY,11.9996,0.0
0.2667,SURVEY,11.9995,0.0
0.3,SURVEY,11.9992,0.0
0.3333,SURVEY,11.9991,0.0
0.3667,SURVEY,11.999,0.0
0.4,SURVEY,11.999,0.0
0.4333,SURVEY,11.9989,0.0
0.4667,SURVEY,11.9987,0.0
0.5,SURVEY,11.9987,0.0
0.5333,SURVEY,11.9987,0.0
0.5667,SURVEY,11.9986,0.0
0.6,SURVEY,11.9985,0.0
0.6333,SURVEY,11.9986,0.0
0.6667,SURVEY,11.9985,0.0
0.7,SURVEY,11.9984,0.0
0.7333,SURVEY,11.9984,0.0
0.7667,SURVEY,11.9984,0.0
0.8,SURVEY,11.9983,0.0
0.8333,SURVEY,11.9984,0.0
0.8667,SURVEY,11.9983,0.0
0.9,SURVEY,11.9983,0.0
0.9333,SURVEY,11.9984,0.0
0.9667,SURVEY,11.9983,0.0
1.0,SURVEY,11.9983,0.0
1.0333,SURVEY,11.9982,0.0
1.0667,SURVEY,11.9981,0.0
1.1,SURVEY,11.998,0.0
1.1333,SURVEY,11.998,0.0
1.1667,SURVEY,11.998,0.0
1.2,SURVEY,11.9978,0.0
1.2333,SURVEY,11.9979,0.0
1.2667,SURVEY,11.998,0.0
1.3,SURVEY,11.9979,0.0
1.3333,SURVEY,11.9979,0.0
1.3667,SURVEY,11.998,0.0
1.4,SURVEY,11.9978,0.0
1.4333,SURVEY,11.9977,0.0
1.4667,SURVEY,11.9977,0.0
1.5,SURVEY,11.9978,0.0
1.5333,SURVEY,11.9977,0.0
1.5667,SURVEY,11.9978,0.0
1.6,SURVEY,11.9977,0.0
1.6333,SURVEY,11.9976,0.0
1.6667,SURVEY,11.9976,0.0
1.7,SURVEY,11.9976,0.0
1.7333,SURVEY,11.9976,0.0
1.7667,SURVEY,11.9976,0.0
1.8,SURVEY,11.9975,0.0
1.8333,SURVEY,11.9975,0.0
1.8667,SURVEY,11.9975,0.0
1.9,SURVEY,11.9975,0.0
1.9333,SURVEY,11.9973,0.0
1.9667,SURVEY,11.9974,0.0
2.0,SURVEY,11.9974,0.0
2.0333,SURVEY,11.9975,0.0
2.0667,SURVEY,11.9976,0.0
2.1,SURVEY,11.9977,0.0
2.1333,SURVEY,11.9977,0.0
2.1667,SURVEY,11.9978,0.0
