                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79025,                 3.0036,                 1.0821,                0.70716,                0.30245,                0.49455,                0.43706,                0.69512,                 2.8424,                 1.0488,             0.00021863,             0.00021863,             0.00021863
                      2,                 0.6419,                 1.5348,                 1.0474,                0.80028,                0.73273,                0.73926,                0.66292,                0.68431,                  1.739,                 1.0814,              0.0004366,              0.0004366,              0.0004366
                      3,                0.61436,                 1.1989,                 1.0383,                0.86205,                0.75334,                0.80005,                0.71313,                0.63063,                 1.2701,                 1.0416,             0.00065016,             0.00065016,             0.00065016
                      4,                0.60474,                  1.082,                 1.0341,                0.92241,                0.80786,                0.85196,                 0.7836,                0.56939,                 1.0298,                 1.0449,             0.00064719,             0.00064719,             0.00064719
                      5,                0.57157,                0.97785,                 1.0157,                0.92921,                0.80339,                0.85335,                0.79088,                0.54183,                0.96349,                 1.0194,             0.00064059,             0.00064059,             0.00064059
                      6,                0.57117,                0.93396,                 1.0181,                0.92295,                0.81308,                0.86082,                0.79942,                0.51965,                 0.9186,                 1.0056,             0.00063398,             0.00063398,             0.00063398
                      7,                0.54925,                0.90472,                 1.0095,                0.93396,                0.82021,                0.87012,                0.80328,                0.53557,                0.87948,                 1.0001,             0.00062738,             0.00062738,             0.00062738
                      8,                0.52509,                0.82989,                0.99315,                0.94722,                0.81363,                0.86884,                0.82002,                0.47998,                0.80745,                 1.0006,             0.00062078,             0.00062078,             0.00062078
                      9,                0.51606,                0.80585,                0.98899,                0.88824,                0.82917,                 0.8774,                 0.8206,                0.49789,                0.75199,                0.99122,             0.00061417,             0.00061417,             0.00061417
                     10,                0.51505,                0.79427,                0.99083,                0.94848,                0.82486,                 0.8737,                0.81137,                0.53193,                 0.8059,                0.99879,             0.00060757,             0.00060757,             0.00060757
                     11,                0.50298,                0.74727,                0.98877,                 0.9022,                0.79756,                0.85498,                  0.807,                0.48631,                0.83998,                0.98592,             0.00060097,             0.00060097,             0.00060097
                     12,                0.50693,                0.76426,                 0.9896,                0.96201,                0.83117,                0.88189,                0.82684,                0.47058,                0.69339,                 0.9742,             0.00059436,             0.00059436,             0.00059436
                     13,                 0.4945,                0.70833,                0.98298,                0.91291,                0.84683,                0.87859,                 0.8234,                0.49765,                0.71355,                0.98638,             0.00058776,             0.00058776,             0.00058776
                     14,                 0.4857,                0.69472,                0.97985,                0.89581,                0.84577,                0.88176,                0.83397,                0.47156,                0.70467,                0.99482,             0.00058116,             0.00058116,             0.00058116
                     15,                0.47345,                0.66524,                0.96902,                0.88854,                0.83649,                0.88147,                0.83313,                0.48486,                0.66729,                 0.9832,             0.00057455,             0.00057455,             0.00057455
                     16,                0.47566,                0.65098,                0.97263,                0.92747,                0.84562,                0.88629,                0.82763,                0.48989,                 0.6488,                0.98289,             0.00056795,             0.00056795,             0.00056795
                     17,                0.47853,                0.65602,                0.97107,                0.90287,                 0.8464,                 0.8871,                0.83419,                0.48067,                0.63191,                0.97829,             0.00056135,             0.00056135,             0.00056135
                     18,                0.47659,                0.63926,                0.97904,                0.89318,                0.83854,                0.88337,                0.83087,                0.47339,                0.59859,                0.97877,             0.00055474,             0.00055474,             0.00055474
                     19,                0.46633,                0.61577,                0.97461,                0.88746,                0.85501,                0.88201,                0.83541,                0.44979,                0.59953,                0.96825,             0.00054814,             0.00054814,             0.00054814
                     20,                0.46198,                0.61755,                0.96367,                0.94918,                0.85801,                0.88975,                0.83916,                0.46304,                0.59844,                0.97653,             0.00054154,             0.00054154,             0.00054154
                     21,                0.47283,                0.61926,                0.97688,                0.94062,                0.85136,                0.89002,                0.84485,                0.43109,                0.58696,                0.96868,             0.00053493,             0.00053493,             0.00053493
                     22,                0.47192,                0.60969,                0.97919,                0.91402,                0.85655,                0.88899,                0.84111,                0.44662,                0.58368,                0.96971,             0.00052833,             0.00052833,             0.00052833
                     23,                0.45419,                0.59098,                0.96664,                0.90806,                0.85663,                0.89138,                0.84851,                0.41534,                0.56158,                 0.9544,             0.00052173,             0.00052173,             0.00052173
                     24,                0.45414,                0.57321,                0.96969,                0.91094,                0.86173,                0.89284,                0.84566,                0.44176,                0.56034,                0.96459,             0.00051512,             0.00051512,             0.00051512
                     25,                0.46001,                0.58568,                0.96787,                0.91918,                0.85768,                0.89123,                0.84733,                0.43747,                0.57142,                0.96808,             0.00050852,             0.00050852,             0.00050852
                     26,                 0.4514,                0.57121,                0.96042,                0.93086,                 0.8476,                0.88962,                0.84801,                0.43282,                0.56216,                0.96552,             0.00050192,             0.00050192,             0.00050192
                     27,                0.44753,                0.55209,                0.96594,                0.92524,                0.85242,                0.89352,                0.85114,                0.43389,                0.52472,                0.96375,             0.00049531,             0.00049531,             0.00049531
                     28,                0.43546,                0.53521,                 0.9567,                0.94045,                0.84804,                0.89169,                0.84305,                0.45708,                0.53517,                0.96593,             0.00048871,             0.00048871,             0.00048871
                     29,                0.44931,                 0.5564,                0.96845,                0.93569,                0.85844,                0.89025,                0.85229,                0.40848,                0.52243,                0.96423,             0.00048211,             0.00048211,             0.00048211
                     30,                0.44505,                 0.5207,                0.96313,                0.89391,                0.86069,                   0.89,                0.84586,                0.44166,                0.52625,                0.96922,              0.0004755,              0.0004755,              0.0004755
                     31,                0.43167,                 0.5254,                0.95735,                0.91706,                0.85568,                 0.8915,                 0.8498,                0.40077,                0.51071,                0.95172,              0.0004689,              0.0004689,              0.0004689
                     32,                0.42571,                 0.5254,                0.94986,                0.94284,                0.85544,                0.89267,                0.84707,                 0.4259,                0.50161,                0.95017,              0.0004623,              0.0004623,              0.0004623
                     33,                0.43141,                0.53297,                0.95963,                0.91659,                0.85758,                0.88959,                0.85024,                0.42132,                0.50146,                0.95147,             0.00045569,             0.00045569,             0.00045569
                     34,                0.43397,                0.52107,                 0.9554,                0.90693,                0.86393,                0.89184,                0.85097,                0.42754,                0.50132,                0.95956,             0.00044909,             0.00044909,             0.00044909
                     35,                 0.4267,                 0.5059,                0.95752,                0.96655,                0.86521,                0.89423,                0.85401,                0.42023,                0.49463,                0.95698,             0.00044249,             0.00044249,             0.00044249
